ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2000000177,2000000177,0,0
2000000179,2000000179,0,0
2000000191,2000000191,0,0
2000000219,2000000219,0,0
4157120,2000000219,1,1
4110275,2000000219,2,2
2000000233,2000000233,0,0
36210656,2000000233,1,2
1761982,2000000233,3,4
2000000234,2000000234,0,0
2000000235,2000000235,0,0
2000000236,2000000236,0,0
2000000237,2000000237,0,0
2000000238,2000000238,0,0
2000000239,2000000239,0,0
2000000240,2000000240,0,0
2000000241,2000000241,0,0
2000000266,2000000266,0,0
4157120,2000000266,1,1
4110275,2000000266,2,2
2000000268,2000000268,0,0
36210656,2000000268,1,2
1761982,2000000268,3,4
2000000266,2000000268,1,1
2000000269,2000000269,0,0
36210656,2000000269,1,2
1761982,2000000269,3,4
2000000266,2000000269,1,1
2000000270,2000000270,0,0
36210656,2000000270,1,2
1761982,2000000270,3,4
2000000266,2000000270,1,1
2000000271,2000000271,0,0
36210656,2000000271,1,2
1761982,2000000271,3,4
2000000266,2000000271,1,1
2000000272,2000000272,0,0
36210656,2000000272,1,2
1761982,2000000272,3,4
2000000266,2000000272,1,1
2000000273,2000000273,0,0
36210656,2000000273,1,2
1761982,2000000273,3,4
2000000266,2000000273,1,1
2000000274,2000000274,0,0
36210656,2000000274,1,2
1761982,2000000274,3,4
2000000266,2000000274,1,1
2000000275,2000000275,0,0
36210656,2000000275,1,2
1761982,2000000275,3,4
2000000266,2000000275,1,1
2000000276,2000000276,0,0
36210656,2000000276,1,2
1761982,2000000276,3,4
2000000266,2000000276,1,1
2000000277,2000000277,0,0
36210656,2000000277,1,2
1761982,2000000277,3,4
2000000266,2000000277,1,1
2000000278,2000000278,0,0
36210656,2000000278,1,2
1761982,2000000278,3,4
2000000266,2000000278,1,1
2000000282,2000000282,0,0
2000000566,2000000566,0,0
2000000567,2000000567,0,0
2000000570,2000000570,0,0
36210656,2000000570,1,2
1761982,2000000570,3,4
44783153,2000000570,1,1
2000000571,2000000571,0,0
36210656,2000000571,1,2
1761982,2000000571,3,4
44783153,2000000571,1,1
2000000572,2000000572,0,0
36210656,2000000572,1,2
1761982,2000000572,3,4
44783153,2000000572,1,1
2000000573,2000000573,0,0
36210656,2000000573,1,2
1761982,2000000573,3,4
44783153,2000000573,1,1
2000000574,2000000574,0,0
36210656,2000000574,1,2
1761982,2000000574,3,4
44783153,2000000574,1,1
2000000575,2000000575,0,0
36210656,2000000575,1,2
1761982,2000000575,3,4
44783153,2000000575,1,1
2000000576,2000000576,0,0
36210656,2000000576,1,2
1761982,2000000576,3,4
44783153,2000000576,1,1
2000000577,2000000577,0,0
36210656,2000000577,1,2
1761982,2000000577,3,4
44783153,2000000577,1,1
2000000578,2000000578,0,0
36210656,2000000578,1,2
1761982,2000000578,3,4
44783153,2000000578,1,1
2000000579,2000000579,0,0
36210656,2000000579,1,2
1761982,2000000579,3,4
44783153,2000000579,1,1
2000000580,2000000580,0,0
36210656,2000000580,1,2
1761982,2000000580,3,4
44783153,2000000580,1,1
2000000581,2000000581,0,0
36210656,2000000581,1,2
1761982,2000000581,3,4
44783153,2000000581,1,1
2000000582,2000000582,0,0
36210656,2000000582,1,2
1761982,2000000582,3,4
44783153,2000000582,1,1
2000000583,2000000583,0,0
36210656,2000000583,1,2
1761982,2000000583,3,4
44783153,2000000583,1,1
