wave_id,name,description,instrument_model_type_concept_id,start_date,end_date,kind_of_data_concept_id,authorizing_agency_concept_id,authorizing_statement,population_study_id
1,wave 1,First wave,3000000198,15/03/2014,15/12/2014,32897,,,1
2,wave 2,Second wave,3000000198,15/03/2014,15/12/2014,32897,,,1
3,wave 1,First wave,3000000201,15/10/2020,15/03/2021,32897,,,2
4,wave 2,Second wave,3000000201,15/10/2020,15/03/2021,32897,,,2
5,wave 3,Third wave,3000000201,15/10/2020,15/03/2021,32897,,,2
6,wave 1,First wave,3000000201,15/10/2020,15/03/2021,32897,,,3
7,wave 2,Second wave,3000000201,15/10/2020,15/03/2021,32897,,,3
8,wave 3,Third wave,3000000201,15/10/2020,15/03/2021,32897,,,3
9,wave 1,First wave,3000000198,15/07/2014,15/07/2015,32883,,,4
10,wave 2,Second wave,3000000198,15/07/2018,15/07/2019,32883,,,4
11,wave 1,First wave,3000000198,15/11/2014,15/11/2015,32883,,,5
12,wave 1,First wave,3000000198,15/02/2008,15/12/2008,32883,,,6
13,wave 2,Second wave,3000000198,15/05/2010,15/09/2011,32883,,,6
14,wave 3,Third wave,3000000198,15/05/2012,15/12/2012,32883,,,6
15,wave 1,First wave,3000000198,15/02/2008,15/12/2008,32883,,,7
16,wave 2,Second wave,3000000198,15/05/2010,15/09/2011,32883,,,7
17,wave 3,Third wave,3000000198,15/05/2012,15/12/2012,32883,,,7
18,wave 1,First wave,3000000198,15/02/2008,15/12/2008,32883,,,8
19,wave 2,Second wave,3000000198,15/05/2010,15/09/2011,32883,,,8
20,wave 3,Third wave,3000000198,15/05/2012,15/12/2012,32883,,,8
21,wave 1,First wave,3000000198,15/02/2008,15/12/2008,32883,,,9
22,wave 2,Second wave,3000000198,15/05/2010,15/09/2011,32883,,,9
23,wave 3,Third wave,3000000198,15/05/2012,15/12/2012,32883,,,9
24,wave 4,Fourth wave,3000000198,15/09/2014,15/08/2015,32883,,,9
25,wave 1,First wave,3000000198,15/02/2008,15/12/2008,32883,,,10
26,wave 2,Second wave,3000000198,15/05/2010,15/09/2011,32883,,,10
27,wave 3,Third wave,3000000198,15/05/2012,15/12/2012,32883,,,10
28,wave 1,First wave,3000000198,15/02/2008,15/12/2008,32883,,,11
29,wave 2,Second wave,3000000198,15/05/2010,15/09/2011,32883,,,11
30,wave 3,Third wave,3000000198,15/05/2012,15/12/2012,32883,,,11
31,wave 4,Fourth wave,3000000198,15/09/2014,15/08/2015,32883,,,11
32,wave 5,Fifth wave,3000000198,15/02/2017,15/12/2017,32883,,,11
33,wave 1,First wave,3000000201,01/08/2023,30/10/2023,32883,,,12
34,wave 2,Second wave,3000000201,01/09/2024,15/12/2024,32883,,,12
35,wave 1,First wave,3000000201,04/03/2024,02/04/2024,32883,,,13
36,wave 1,First wave,3000000201,01/10/2024,30/11/2024,32883,,,14
